api8,lease_no,well_no,lease_name,operator,field,county,district,first_prod,months_history,cum_oil_bbl,n_points,qi,Di_monthly,Di_annual,b,r_squared,status,eur_bbl,remaining_bbl,cum_produced_bbl,forecast_months,cluster_id,cluster,lateral_ft,eur_per_1000ft
31743171,56651,4H,BOHANAN-BLOCKER 3B,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),MARTIN,10,202201,54,391212.0,51,27269.999999999964,0.14947088063188815,1.7936505675826577,0.9025863870772645,0.9255021577726766,ok,696001.0360300567,304789.03603005665,391212.0,501,1,Moderate decline,10036.0,69350.44201176333
31743549,60103,322H,WELCH-COX E39V,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),MARTIN,10,202310,33,305865.0,25,45997.999999999956,0.15968036517827772,1.9161643821393326,0.05000000000000017,0.8708214791134363,ok,308329.7176311435,2464.7176311435082,305865.0,9,0,Mild decline,10330.0,29847.988154031318
31743566,60093,301H,WELCH-COX E39A,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),MARTIN,10,202310,33,132224.0,29,19026.999999999956,0.25911210994419015,3.1093453193302816,0.6282319715469582,0.9442912611673141,ok,166095.72543082753,33871.72543082754,132224.0,90,1,Moderate decline,10131.0,16394.80065450869
31743568,60106,320H,WELCH-COX E39T,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),MARTIN,10,202310,33,344557.0,29,48445.99999999993,0.34421540881374035,4.130584905764884,0.9097504218037582,0.8555905632832228,ok,620262.211758519,275705.211758519,344557.0,450,1,Moderate decline,10330.0,60044.74460392247
31743755,57663,214H,GLYNN-ATCHISON 44N,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),MARTIN,10,202203,47,312236.0,42,13286.416208602175,0.045292444360030465,0.5435093323203656,0.0500000000001375,0.5350727478440622,ok,355708.76317279466,43472.76317279464,312236.0,65,0,Mild decline,10301.0,34531.47880524169
31743757,57623,213H,GLYNN-ATCHISON 44M,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),MARTIN,10,202203,47,185811.0,42,19409.99999999983,0.7999999999785358,9.59999999974243,1.674738113360203,0.5992563598098622,ok,461062.33080157824,275251.33080157824,185811.0,511,2,Steep decline,10181.0,45286.54658693432
31743759,57722,212H,GLYNN-ATCHISON 44L,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),MARTIN,10,202208,47,236165.0,43,34728.99999999992,0.44125684166301754,5.29508209995621,0.8871159327008892,0.875637978701938,ok,337161.58165401284,100996.58165401284,236165.0,267,1,Moderate decline,10181.0,33116.745079463006
31743816,58214,4H,SCHARBAUER-DOVE 7D,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),MARTIN,10,202210,45,334445.0,42,28316.99999999964,0.22272239012949407,2.6726686815539287,1.2040891910753317,0.9023668898773078,ok,803761.1864392067,469316.1864392067,334445.0,600,1,Moderate decline,10181.0,78947.17478039552
31743818,58257,6H,SCHARBAUER-DOVE 7F,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),MARTIN,10,202210,45,315509.0,41,29621.99999950327,0.41062981665147297,4.927557799817675,1.5020028761145063,0.8498214200281424,ok,832482.9810508979,516973.9810508978,315509.0,600,2,Steep decline,10330.0,80588.86554219728
31744051,57772,105H,EPLEY-MARTIN 31E,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),MARTIN,10,202204,46,333048.0,39,22933.999999877837,0.49248340294200443,5.909800835304053,1.9607760456760337,0.5338614316730461,ok,960345.5582289153,627297.5582289153,333048.0,600,2,Steep decline,9781.0,98184.8030087839
